"id";"jobs";"salary";"firms";"location";"nums"
1229;"软件工程师(WEB方向)应届生";"3-5千/月";"长春明思软件技术有限公司";"长春-高新技术产业开发区";"20"
1230;"急聘 计算机相关专业毕业生（实习）";"2-3千/月";"天津创方多维信息技术有限公司";"天津";"10"
1231;"诚聘  计算机相关专业实习生";"3-4.5千/月";"天津创方多维信息技术有限公司";"天津-南开区";"若干"
1232;"业务助理兼日语翻译 有总务/财务经验优先(职位编号：?LC180108)";"5-8千/月";"上海恒封密封制品有限公司";"上海";"若干"
1233;"电器自动化工程师";"1-1.5万/月";"山东国立经济技术合作有限公司";"济南";"10"
1234;"材料工程师";"1-1.5万/月";"山东国立经济技术合作有限公司";"济南";"10"
1235;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1236;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1237;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1238;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1239;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1240;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1241;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1242;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1243;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1244;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1245;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1246;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1247;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1248;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1249;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1250;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1251;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1252;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1253;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1254;"日本工作签―免税店店员，年收18万左右";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
1255;"世界500强 大和事务处理中心 结构/装配设计";"97元/天";"大连智科咨询顾问有限公司";"大连-西岗区";"若干"
1256;"世界500强  CAD制图";"97元/天";"大连智科咨询顾问有限公司";"大连-西岗区";"若干"
1257;"对日BSE";"1-1.5万/月";"大连丝路软件有限责任公司";"大连-高新园区";"2"
1258;"无印良品餐厅服务员";"4.5-6千/月";"无印良品（上海）商业有限公司";"上海";"若干"
1259;"无印良品门店营业员";"4.5-6千/月";"无印良品（上海）商业有限公司";"上海";"若干"
1260;"导购员（年底十三薪）";"4.5-6千/月";"无印良品（上海）商业有限公司";"上海";"若干"
1261;"介护士";"1-1.5万/月";"绍泉职业教育培训服务（临泉）有限公司";"合肥-政务区";"100"
1262;"介护士";"1-1.5万/月";"绍泉职业教育培训服务（临泉）有限公司";"合肥-政务区";"100"
1263;"业务SE 出国机会(职位编号：04)";"0.5-1.2万/月";"成都仁本新动科技有限公司";"成都-高新区";"5"
1264;"项目经理（PM）(职位编号：01)";"1-2万/月";"成都仁本新动科技有限公司";"成都-高新区";"若干"
1265;"日语业务跟单--上海办";"5-8千/月";"兰州三毛实业股份有限公司";"上海-徐汇区";"若干"
1266;"Java / .Net / C++软件工程师";"0.7-1.4万/月";"杭州网新新思软件有限公司";"杭州-拱墅区";"若干"
1267;"Java / .Net / C++软件工程师";"0.7-1.4万/月";"杭州网新新思软件有限公司";"杭州-拱墅区";"若干"
1268;"区域销售主管/经理";"1-2.5万/月";"日世（中国）投资有限公司";"上海";"2"
1269;"嵌入式工程师";"1-1.5万/月";"华尔特人才咨询（上海）有限公司";"上海";"1"
1270;"日本总社正社员（工科日语人才）";"1-1.5万/月";"昆山朝日前程商务咨询有限公司";"昆山";"3"
1271;"深圳东莞日资企业招聘普工6000";"4.5-6千/月";"东莞市共进教育咨询有限公司";"深圳-光明新区";"100"
1272;"深圳东莞日资企业招聘普工6000";"4.5-6千/月";"东莞市共进教育咨询有限公司";"深圳-光明新区";"100"
1273;"深圳宝安日企大量招聘普工5000";"4.5-6千/月";"东莞市共进教育咨询有限公司";"深圳-宝安区";"200"
1274;"深圳宝安日企大量招聘普工5000";"4.5-6千/月";"东莞市共进教育咨询有限公司";"深圳-宝安区";"200"
1275;"销售主管（服务区）";"1-1.5万/月";"日世（中国）投资有限公司";"上海-长宁区";"若干"
1276;"营业担当/营业主管";"0.8-1.2万/月";"日世（中国）投资有限公司";"南京";"2"
1277;"营业担当";"0.9-1.2万/月";"日世（中国）投资有限公司";"北京";"1"
1278;"区域销售主管/经理";"1-1.5万/月";"日世（中国）投资有限公司";"沈阳-和平区";"若干"
1279;"日语现场翻译";"0.6-1万/月";"日世（中国）投资有限公司";"昆山";"5"
1280;"区域销售专员";"5-8千/月";"日世（中国）投资有限公司";"广州";"3"
1281;"售前/售后技术支持工程师/专员";"6-8千/月";"日世（中国）投资有限公司";"上海";"2"
1282;"区域销售主管/经理";"1-2.5万/月";"日世（中国）投资有限公司";"北京";"2"
1283;"区域销售主管/经理";"1-2.5万/月";"日世（中国）投资有限公司";"南京";"2"
1284;"台湾人才募集中";"2-2.5万/月";"日世（中国）投资有限公司";"北京";"5"
1285;"营业担当/营业主管";"0.8-1.2万/月";"日世（中国）投资有限公司";"深圳";"2"
1286;"人事主管";"0.7-1万/月";"日世（中国）投资有限公司";"上海";"2"
1287;"区域销售主管/经理";"0.8-1.2万/月";"日世（中国）投资有限公司";"广州";"2"
1288;"对日软件工程师";"6-8千/月";"黑龙江省华泰兴成信息科技有限责任公司";"哈尔滨";"5"
1289;"COBOL软件工程师-日本工作";"0.8-1万/月";"宏智科技（苏州）股份有限公司";"苏州-工业园区";"5"
1290;"日本工签";"1.4-3万/月";"创译科技（大连）有限公司";"大连-高新园区";"50"
1291;"日本工签";"1.4-3万/月";"创译科技（大连）有限公司";"大连-高新园区";"50"
1292;"日语教师招聘";"6-9千/月";"成都帝京教育咨询有限公司";"成都-锦江区";"3"
1293;"储备结构设计工程师";"6-8千/月";"上海森叶建筑设计有限公司";"上海-浦东新区";"9"
1294;"设备工程师 日语";"6-8千/月";"阿迩贝司机电技术（上海）有限公司";"上海";"若干"
1295;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1296;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1297;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1298;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1299;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1300;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1301;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1302;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1303;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1304;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1305;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1306;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1307;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1308;"东京SK-II香奈儿化妆品店销售";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"若干"
1309;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1310;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1311;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1312;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1313;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1314;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1315;"日本大型免税店招募正社员";"1-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"10"
1316;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1317;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1318;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"1.2-1.5万/月";"重庆兴贤出国咨询服务有限公司";"成都-锦江区";"20"
1319;"日本出差软件开发工程师";"2-2.5万/月";"鑫沣科技（大连）有限公司";"大连";"若干"
1320;"逆变器工程师";"6-8千/月";"武汉光庭信息技术股份有限公司";"武汉";"2"
1321;"对日软件开发工程师（项目经理）";"4-8千/月";"恩梯梯数据（中国）信息技术有限公司长春分公司";"长春-净月经济开发区";"若干"
1322;"对日软件开发工程师（项目经理）";"4-8千/月";"恩梯梯数据（中国）信息技术有限公司长春分公司";"长春-净月经济开发区";"若干"
1323;"软件开发工程师（PM）";"0.6-1.2万/月";"恩梯梯数据（中国）信息技术有限公司长春分公司";"长春-净月经济开发区";"若干"
1324;"软件开发工程师（项目经理）";"5.5-8千/月";"恩梯梯数据（中国）信息技术有限公司长春分公司";"长春-净月经济开发区";"若干"
1325;"日语项目经理（销售）";"6-8千/月";"北京永达康国际旅行社有限责任公司";"北京-朝阳区";"2"
1326;"销售专员（高提成）";"4.5-6千/月";"北京永达康国际旅行社有限责任公司";"北京-朝阳区";"2"
1327;"大客户销售高提成";"4-8千/月";"北京永达康国际旅行社有限责任公司";"北京-朝阳区";"2"
1328;"大客户经理（日语）";"6-8千/月";"北京永达康国际旅行社有限责任公司";"北京-朝阳区";"2"
1329;"C#开发工程师";"6-8千/月";"中软国际科技服务有限公司";"长沙-岳麓区";"2"
1330;"销售主管";"0.8-1万/月";"上海长宁区明日进修学校";"上海-长宁区";"若干"
1331;"销售主管(职位编号：004)";"1-1.5万/月";"上海长宁区明日进修学校";"上海-长宁区";"若干"
1332;"市场部主管";"10-15万/年";"上海长宁区明日进修学校";"上海-长宁区";"3"
1333;"营业主管（教育咨询/日语流利）(职位编号：002)";"10-15万/年";"上海长宁区明日进修学校";"上海-长宁区";"若干"
1334;"介护福祉士";"1-1.5万/月";"天坤国际控股集团股份有限公司";"上海-宝山区";"30"
1335;"食其家储备店长";"3.3-4.5千/月";"泉盛餐饮（上海）有限公司";"贵阳";"10"
1336;"日本高尔夫球场招募实习生月薪1万以上";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"15"
1337;"日本工签 免税店月薪1万以上";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"若干"
1338;"日本工签 免税店月薪1万以上";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"若干"
1339;"日本东京各地区电器、免税店就职";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"15"
1340;"日本东京各地区电器、免税店就职";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"15"
1341;"行政人事主管";"4-6千/月";"泉盛餐饮（上海）有限公司";"贵阳";"1"
1342;"食其家工厂储备经理";"4-6千/月";"泉盛餐饮（上海）有限公司";"贵阳";"3"
1343;"驻客户现场负责人";"1-2万/月";"北京中海创发科技有限公司";"武汉-武汉经济开发区";"1"
1344;"对日软件工程师";"0.5-1.3万/月";"北京中海创发科技有限公司";"武汉-武汉经济开发区";"5"
1345;"对日软件工程师";"0.8-1.5万/月";"北京中海创发科技有限公司";"北京-海淀区";"5"
1346;"流通开发项目Leader";"1.5-2.5万/月";"日通（大连）科技有限公司";"北京-朝阳区";"若干"
1347;".NET Core 开发";"1.5-2万/月";"深圳市飞瓦科技有限公司";"深圳-南山区";"若干"
1348;"电气工程师/技术员";"4.5-6千/月";"南京恩梯恩精密机电有限公司";"南京-栖霞区";"2"
1349;"生产技术员";"3-4.5千/月";"南京恩梯恩精密机电有限公司";"南京-栖霞区";"2"
1350;"储备店长";"4-5千/月";"泉盛餐饮（上海）有限公司";"东莞-大朗镇";"40"
1351;"食其家储备店长（包吃+双休+五险一金+交通补助）";"3.3-4.5千/月";"泉盛餐饮（上海）有限公司";"眉山";"2"
1352;"食其家营业部储备经理";"3.3-4.5千/月";"泉盛餐饮（上海）有限公司";"眉山";"2"
1353;"食其家储备干部(储备店长+五险一金+交通补助+包吃住）";"3.8-5千/月";"泉盛餐饮（上海）有限公司";"扬州";"2"
1354;"食其家储备干部(储备店长+五险一金+交通补助+包吃住）";"3.8-5千/月";"泉盛餐饮（上海）有限公司";"泰州";"2"
1355;"储备店长";"4.1-5千/月";"泉盛餐饮（上海）有限公司";"深圳";"若干"
1356;"食其家见习经理(储备店长+五险一金+交通补助+包吃住）";"3.8-5千/月";"泉盛餐饮（上海）有限公司";"泰州";"2"
1357;"食其家见习经理(储备店长+五险一金+交通补助+包吃住）";"3.8-5千/月";"泉盛餐饮（上海）有限公司";"扬州";"2"
1358;"储备店长（广州）";"4.1-5千/月";"泉盛餐饮（上海）有限公司";"广州";"40"
1359;"日本医疗网-销售";"3-4.5千/月";"大连悠游国际医疗健康管理有限公司";"大连";"若干"
1360;"研发工程师助理工程师";"0.7-1.5万/月";"京上贸易（上海）有限公司";"上海-宝山区";"3"
1361;"销售经理（日语）";"1.5-2万/月";"邦驻（上海）停车场管理有限公司";"上海-浦东新区";"若干"
1362;"C#.NET";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1363;"PHP开发工程师";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"20"
1364;"VB.NET开发应届毕业生";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1365;"VB.NET开发";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1366;"PHP开发应届毕业生";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1367;"C#开发人员";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1368;"对日软件开发人员";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1369;"程序员";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1370;"Web开发";"3-4.5千/月";"大连思腾软件有限公司";"大连-西岗区";"5"
1371;"初级软件开发工程师(长期出差冲绳)";"1.5-2万/月";"大连华信计算机技术股份有限公司";"大连";"若干"
1372;"日本留学两年0学费0住宿费";"6-8千/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"30"
1373;"日本高尔夫球场招募实习生月薪1万以上";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"15"
1374;"日本工签 免税店月薪1万以上";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"若干"
1375;"日本东京各地区电器、免税店就职";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"15"
1376;"日本东京各地区电器、免税店就职";"1-1.5万/月";"沈阳翔泰教育信息咨询有限公司";"沈阳";"15"
1377;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1378;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1379;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1380;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1381;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1382;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1383;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1384;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1385;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1386;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1387;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1388;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1389;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1390;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1391;"日本研修女工项目";"370元/天";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"若干"
1392;"招生主任";"1-1.5万/月";"成都和思康健投资管理有限公司";"成都-温江区";"2"
1393;"招生老师";"0.8-1万/月";"成都和思康健投资管理有限公司";"成都-温江区";"2"
1394;"招生顾问";"1-1.5万/月";"成都和思康健投资管理有限公司";"成都-温江区";"2"
1395;"十五薪 日语流程专员";"3.5-5.5千/月";"方正宽带网络服务有限公司大连分公司";"大连";"6"
1396;"赴日软件开发工程师";"25-70万/月";"大连佰思特信息技术有限公司";"大连";"若干"
1397;"(日本知名上市公司)Java软件工程师（赴日）-JP2912";"30-40万/年";"大连博科人才有限公司";"大连";"3"
1398;"(日本知名上市公司)Java软件工程师（赴日）-JP2912";"30-40万/年";"大连博科人才有限公司";"大连";"3"
1399;"赴日硬件设计或半导体设计工程师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"若干"
1400;"赴日IT设计开发工程师（东京）";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"若干"
1401;"赴日IT 嵌入式软件开发工程师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"若干"
1402;"赴日本Java软件开发设计师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"20"
1403;"赴日本Java软件开发设计师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"20"
1404;"赴日本汽车或机械三维设计工程师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"若干"
1405;"赴日本汽车或机械三维设计工程师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"若干"
1406;"赴日本IT 嵌入式开发工程师(无中介费)";"1.5-2万/月";"上海万谷境外就业服务有限公司";"上海";"若干"
1407;"储备干部（对日）";"1-4千/月";"大连�]洋设计有限公司";"大连";"2"
1408;"留学咨询实习生";"2-3千/月";"上海尚普信息咨询有限公司";"上海-普陀区";"2"
1409;"大型百货店销售员";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"15"
1410;"高薪诚聘免税店销售代表";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1411;"大型电器店导购员";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"15"
1412;"免税店销售导购兼翻译";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"30"
1413;"高薪诚聘购物中心导购员";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1414;"高薪诚聘BPO正社员";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1415;"招聘软件开发工程师";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1416;"高薪诚聘免税店销售代表";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"若干"
1417;"手机电器，奢侈品销售";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1418;"包住宿和中餐免税店导购员";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1419;"日语BPO正社员招聘";"1.5-2千/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
1420;"BPO***操作员";"1-2.5千/月";"大连合盛信息技术有限公司";"大连-沙河口区";"4"
1421;"结构工程师";"1-3千/月";"上海森叶建筑设计有限公司";"上海-浦东新区";"2"
1422;"日语技术服务工程师（知名企业，福利好）";"0.8-1万/月";"上海日弘企业管理咨询有限公司";"绵阳";"1"
1423;"(大型IT集团急聘)急聘Linux服务器工程师-JP2928";"0.8-1万/月";"大连博科人才有限公司";"大连";"1"
1424;"(全球制造巨头集团子公司)SSE PM/系统架构师-JP2922";"15-20万/年";"大连博科人才有限公司";"上海";"1"
1425;"(日本知名集团子公司)嵌入式软件开发技术骨干 -JP2921";"15-20万/年";"大连博科人才有限公司";"大连";"3"
1426;"(日本知名上市公司)嵌入式开发工程师-JP2911";"30-40万/年";"大连博科人才有限公司";"大连";"3"
1427;"(日本知名上市公司)嵌入式开发工程师-JP2911";"30-40万/年";"大连博科人才有限公司";"大连";"3"
1428;"(日本知名上市公司)嵌入式开发工程师-JP2911";"30-40万/年";"大连博科人才有限公司";"大连";"3"
1429;"（知名日本独资甲方公司）日语运维项目经理-JP2894";"1.5-2万/月";"大连博科人才有限公司";"北京";"1"
1430;"（知名日本独资甲方公司）日语软件开发主管-JP2892";"1.5-2万/月";"大连博科人才有限公司";"北京";"1"
1431;"(全球知名企业在华研发中心)车联网云开发-JP2955(职位编号：JP2955)";"0.8-1.1万/月";"大连博科人才有限公司";"上海";"1"
1432;"(全球知名企业在华研发中心)网络工程师-JP2944(职位编号：JP2944)";"0.8-1万/月";"大连博科人才有限公司";"上海";"1"
1433;"(知名日本独资IT企业)日语高级工程师-JP2943(职位编号：JP2943)";"0.8-1万/月";"大连博科人才有限公司";"大连";"若干"
